readout,metric,treatment_variant,reference_variant,treatment_mean,reference_mean,difference,cohen_d,bootstrap_ci_low,bootstrap_ci_high,n_treatment,n_reference
final,total_payoff,affect,no_affect,1136.05,1172.1333333333334,-36.083333333333485,-0.6417787776093421,-63.6537500000001,-10.932916666666728,30,30
final,mean_q_pi_entropy,affect,no_affect,8.379561595045278,8.735450198718999,-0.355888603673721,-1.7844269256830438,-0.44703717645048946,-0.25724026095488023,30,30
final,mean_joint_accuracy,affect,no_affect,0.23361111111111113,0.26638888888888895,-0.03277777777777782,-0.1839868629296087,-0.11890972222222226,0.06388888888888891,30,30
final,mean_stance_accuracy,affect,no_affect,0.7316666666666667,0.6936111111111108,0.03805555555555584,0.38132870651621253,-0.007513888888888833,0.08833333333333328,30,30
model_fitness,abs_corr_precision_surprise_minus_reward,affect,,0.053663765962667025,,0.053663765962667025,,-0.036704694286135105,0.1519048060199337,30,0
model_fitness,abs_corr_precision_surprise_minus_reward,lesioned,,0.11143812253294237,,0.11143812253294237,,-0.007611879956484732,0.22336351267238944,30,0
betrayal_reallocation,reencounters,affect,no_affect,4.4,6.066666666666666,-1.666666666666666,-0.28765527036091865,-4.533333333333333,0.9674999999999994,30,30
betrayal_reallocation,decisions_to_first_reencounter,affect,no_affect,15.615384615384615,17.642857142857142,-2.0274725274725274,-0.10933666417781113,-12.137637362637363,7.782005494505493,26,28
betrayal_reallocation,reencounter_selection_rate,affect,no_affect,0.048888888888888885,0.0674074074074074,-0.018518518518518517,-0.28765527036091887,-0.05037037037037038,0.010749999999999989,30,30
betrayal_reallocation,mean_payoff_on_reencounter,affect,no_affect,8.760207636566332,8.914487516020902,-0.15427987945457033,-0.18616600840407843,-0.5729243909450628,0.26042023700505706,26,28
betrayal_reallocation,mean_q_pi_entropy_on_reencounter,affect,no_affect,8.537195078852204,8.725023862073597,-0.18782878322139318,-0.7191163782090534,-0.34409046133431065,-0.048270614587733615,26,28
betrayal_misdeployment,wrong_type_rate,affect,no_affect,0.23653846153846156,0.16517857142857142,0.07135989010989013,0.20047834343170567,-0.1063352793040293,0.25925995879120867,26,28
betrayal_misdeployment,bad_payoff_rate,affect,no_affect,0.0,0.0,0.0,,0.0,0.0,26,28
betrayal_misdeployment,low_entropy_rate,affect,no_affect,0.1047008547008547,0.2694869614512472,-0.16478610675039246,-0.5034761927866738,-0.33505322802197807,0.023394247121925695,26,28
betrayal_misdeployment,overconfident_wrong_type_rate,affect,no_affect,0.01623931623931624,0.03571428571428571,-0.01947496947496947,-0.18991510437298628,-0.08073870573870574,0.02564102564102564,26,28
betrayal_misdeployment,overconfident_bad_payoff_rate,affect,no_affect,0.0,0.0,0.0,,0.0,0.0,26,28
