variant_id,round_bin_start,round_bin_end,n_seeds,bootstrap_iterations,bootstrap_seed,bootstrap_method,p0_selection_mean,p0_selection_ci_low,p0_selection_ci_high,mean_q_pi_entropy_mean,mean_q_pi_entropy_ci_low,mean_q_pi_entropy_ci_high,p0_beta_mean,p0_beta_ci_low,p0_beta_ci_high,mean_payoff_mean,mean_payoff_ci_low,mean_payoff_ci_high
affect,0,9,30,10000,0,seed_mean_percentile,0.22333333333333336,0.1566666666666667,0.2966666666666667,7.7272003738293416,7.482305540792505,7.950893113458591,1.018584176430742,0.9917924893043909,1.0402386200237055,9.916666666666666,9.529958333333333,10.300041666666669
affect,10,19,30,10000,0,seed_mean_percentile,0.13333333333333333,0.06333333333333334,0.22000000000000003,6.043436812998467,5.446967774198021,6.633765914026946,1.044179978869125,0.9890604380406854,1.0969254118419076,10.716666666666665,10.208291666666666,11.213333333333331
affect,20,29,30,10000,0,seed_mean_percentile,0.11000000000000001,0.03666666666666666,0.20666666666666664,5.16313310355942,4.584313375026387,5.77129978632999,1.0103230190418884,0.9361931837271515,1.0804704544613883,11.289999999999997,10.8,11.730041666666667
affect,30,39,30,10000,0,seed_mean_percentile,0.09333333333333332,0.026666666666666665,0.17666666666666667,4.4405036261889546,4.040182751022242,4.903685754373542,1.0097328797704683,0.927514370632084,1.089806629993368,11.513333333333334,11.06333333333333,11.903333333333334
affect,40,49,30,10000,0,seed_mean_percentile,0.06333333333333332,0.010000000000000002,0.13999999999999999,4.464082597775973,4.114313615198908,4.866169507936241,1.016789169186876,0.9349689515191493,1.0980693724838797,11.456666666666665,11.046624999999999,11.823333333333332
affect,50,59,30,10000,0,seed_mean_percentile,0.04000000000000001,0.013333333333333334,0.07333333333333333,4.570405491431519,4.160725948597847,5.038230111814337,1.020996699135566,0.9422647687265966,1.0997017767107142,11.395,11.033291666666665,11.724999999999998
affect,60,69,30,10000,0,seed_mean_percentile,0.016666666666666666,0.0,0.04000000000000001,4.452288747474133,4.0457926690926325,4.927201266994398,1.037947610470262,0.9534363987380685,1.1213914043142834,11.678333333333333,11.313333333333333,11.993333333333334
affect,70,79,30,10000,0,seed_mean_percentile,0.043333333333333335,0.0,0.09666666666666668,4.395483193967462,4.00920925320278,4.858216863267321,1.041597462427294,0.9578555430585868,1.1246453449427907,11.556666666666665,11.126666666666663,11.933333333333332
affect,80,89,30,10000,0,seed_mean_percentile,0.020000000000000004,0.0,0.05000000000000001,4.481932230326675,4.081562265908741,4.951229914767652,1.0537382047452286,0.9782552386914727,1.1310068664566966,11.543333333333331,11.166666666666666,11.873333333333333
affect,90,99,30,10000,0,seed_mean_percentile,0.029999999999999995,0.0,0.08333333333333331,4.5027601743642585,4.1145596188884355,4.950588195326633,1.0428715033851312,0.9665440067967053,1.1208978987738871,11.499999999999996,11.111624999999997,11.844999999999997
affect,100,109,30,10000,0,seed_mean_percentile,0.010000000000000002,0.0,0.02666666666666667,4.1841774420851,3.916433691011894,4.511278528405149,1.0452524338963913,0.9685867673703737,1.1242276691258761,11.861666666666668,11.604999999999999,12.088333333333335
affect,110,119,30,10000,0,seed_mean_percentile,0.006666666666666667,0.0,0.020000000000000004,4.200950824854997,3.910634795963173,4.554740331778997,1.0452352468005408,0.9685528014818677,1.1242276691258761,11.768333333333329,11.459958333333331,12.041708333333334
global_beta,0,9,30,10000,0,seed_mean_percentile,0.2266666666666667,0.16000000000000003,0.3,7.6716345453652695,7.410953173612763,7.9122148057095405,0.9965758413667856,0.9385357979805239,1.0552448884254626,9.915,9.511666666666667,10.315041666666668
global_beta,10,19,30,10000,0,seed_mean_percentile,0.11666666666666667,0.04666666666666667,0.20666666666666664,5.809448566967136,5.282094080144255,6.363116233729989,0.7940354328954506,0.6871394592152977,0.9144874737240687,10.910000000000002,10.408333333333331,11.365
global_beta,20,29,30,10000,0,seed_mean_percentile,0.07,0.016666666666666666,0.14666666666666667,4.970600385935219,4.41383120493011,5.584864450839432,0.7138620252221771,0.5966420656902806,0.8490792937761932,11.494999999999997,11.086624999999998,11.871666666666666
global_beta,30,39,30,10000,0,seed_mean_percentile,0.05,0.013333333333333334,0.09666666666666668,4.744857957440933,4.2530421720031555,5.291211814311399,0.6735234956566108,0.5804441042750227,0.7820749716655099,11.486666666666666,11.088333333333333,11.851666666666663
global_beta,40,49,30,10000,0,seed_mean_percentile,0.029999999999999995,0.0,0.07666666666666666,4.575833391435755,4.132245611665078,5.089662755048229,0.6448557723376189,0.5637930121277985,0.7485640950896596,11.496666666666666,11.073333333333332,11.875
global_beta,50,59,30,10000,0,seed_mean_percentile,0.013333333333333334,0.0,0.030000000000000006,4.562870782359751,4.096827797589028,5.116602360798022,0.6626841792420957,0.5683529913119684,0.7775467328879077,11.569999999999997,11.193291666666664,11.906666666666666
global_beta,60,69,30,10000,0,seed_mean_percentile,0.016666666666666666,0.0,0.04000000000000001,4.582199496745897,4.089772168649188,5.141825899136969,0.6757182898204471,0.5765161619613216,0.7949324374614607,11.495000000000001,11.026666666666667,11.896708333333335
global_beta,70,79,30,10000,0,seed_mean_percentile,0.03333333333333333,0.0033333333333333335,0.07666666666666666,4.5958601809959765,4.10071461169751,5.162860866653116,0.6348831548011944,0.5590435630290502,0.7305191312690977,11.46333333333333,10.936666666666664,11.919999999999996
global_beta,80,89,30,10000,0,seed_mean_percentile,0.013333333333333334,0.0,0.03666666666666667,4.520565659608971,4.080691140499137,5.020678044500186,0.6356675433737795,0.5682473290398748,0.7174866125182905,11.551666666666666,11.17333333333333,11.875041666666668
global_beta,90,99,30,10000,0,seed_mean_percentile,0.013333333333333334,0.0033333333333333335,0.02666666666666667,4.68250368159417,4.268773737082754,5.137872988999086,0.6281249007757034,0.5666159471264075,0.715540758124747,11.459999999999999,11.139958333333333,11.756666666666666
global_beta,100,109,30,10000,0,seed_mean_percentile,0.013333333333333334,0.0,0.04000000000000001,4.392138897287981,4.032969663433213,4.8303653902187325,0.6054182222413844,0.5426724474206073,0.6957322872092195,11.690000000000001,11.326666666666666,11.998333333333333
global_beta,110,119,30,10000,0,seed_mean_percentile,0.016666666666666666,0.0,0.04666666666666666,4.437855259142081,4.0446637977204665,4.901774033057604,0.6051855900828327,0.5509727218700374,0.6770098678943789,11.618333333333334,11.243291666666668,11.934999999999999
