variant_id,seed,partner_idx,encounters,selection_rate,mean_payoff,mean_surprisal,mean_beta_when_selected,final_beta_when_selected
affect,42,0,59,0.295,2.694915254237288,0.736362670965895,1.5260466510143884,1.7167203911403244
affect,42,1,23,0.115,1.434782608695652,0.3895342727186166,0.6891549710951709,1.5371213410885223
affect,42,2,40,0.2,2.95,0.7279262431509307,1.546670374787012,1.533405473702123
affect,42,3,78,0.39,2.076923076923077,0.6809262864061935,1.2933300326461923,1.582076590302506
affect,43,0,151,0.755,2.6821192052980134,0.7289032188936132,1.5400322361788281,1.522784539042727
affect,43,1,30,0.15,1.0,0.3724868148301469,0.7611606588618962,0.5179686595539048
affect,43,2,10,0.05,1.4,0.6322466451036408,1.20134186819848,1.6178122602486695
affect,43,3,9,0.045,1.6666666666666667,0.6598889614540809,1.1371602909265508,1.8086331411319323
affect,44,0,135,0.675,2.8666666666666667,0.7258178149279129,1.4104890190600006,1.7458332609597103
affect,44,1,2,0.01,1.0,0.6222661488909584,1.016900371918823,0.9921381913850038
affect,44,2,47,0.235,2.4468085106382977,0.6786273872415716,1.1018825427347863,1.3483949940543352
affect,44,3,16,0.08,2.375,0.6789905646865381,1.1639133040909528,1.4883331691924713
global_beta,42,0,53,0.265,2.660377358490566,0.7129008397248687,1.3970016147996958,1.5297346471497026
global_beta,42,1,8,0.04,1.25,0.41194626622884156,0.842902590509615,0.9736342226946028
global_beta,42,2,60,0.3,2.5,0.7235165599360355,1.4200847608191807,1.723012670149555
global_beta,42,3,79,0.395,2.1139240506329116,0.6994655012267562,1.2507979179017927,1.6652524364141772
global_beta,43,0,173,0.865,2.815028901734104,0.7137252925261615,1.359055312945643,0.823680158071652
global_beta,43,1,12,0.06,1.5,0.5288382715111155,1.2024355209524933,0.559627696959709
global_beta,43,2,10,0.05,1.6,0.6322466451036408,1.3533875812579916,0.5740182169705764
global_beta,43,3,5,0.025,1.0,0.39585475290038896,1.4526524049976177,1.8397472634230463
global_beta,44,0,144,0.72,2.9166666666666665,0.7057327315903427,1.3840409373319378,1.5874624003461195
global_beta,44,1,5,0.025,1.8,0.6899099587033828,1.3965921255581222,0.7595826110426311
global_beta,44,2,34,0.17,2.3529411764705883,0.694157764582238,1.4014965387227105,1.6615677983869075
global_beta,44,3,17,0.085,2.0588235294117645,0.7184231256779465,1.283409205188882,1.5773676107250223
no_affect,42,0,75,0.375,3.026666666666667,0.6923266370527978,,
no_affect,42,1,6,0.03,1.6666666666666667,0.4580951308991124,,
no_affect,42,2,41,0.205,2.902439024390244,0.7551185696775449,,
no_affect,42,3,78,0.39,2.2564102564102564,0.6643821515990176,,
no_affect,43,0,173,0.865,2.953757225433526,0.7111261795246293,,
no_affect,43,1,12,0.06,1.3333333333333333,0.5471604978049555,,
no_affect,43,2,10,0.05,1.8,0.6215101715134409,,
no_affect,43,3,5,0.025,1.0,0.39585475290038896,,
no_affect,44,0,157,0.785,3.0764331210191083,0.7103891691801739,,
no_affect,44,1,2,0.01,1.0,0.6222661488909584,,
no_affect,44,2,29,0.145,2.2413793103448274,0.6884682023047158,,
no_affect,44,3,12,0.06,2.0,0.6986996505729316,,
