variant_id,seed,partner_idx,switch_event_idx,switch_round,switch_kind,post_switch_decisions,reencounters,returned_to_partner,decisions_to_first_reencounter,rounds_to_first_reencounter,reencounter_selection_rate,mean_payoff_on_reencounter,mean_q_pi_entropy_on_reencounter
affect,42,0,0,30,scheduled_stance,90,2,True,8.0,8.0,0.022222222222222223,10.0,8.99992159452258
affect,43,0,0,30,scheduled_stance,90,3,True,16.0,16.0,0.03333333333333333,9.5,7.993378652348532
affect,44,0,0,30,scheduled_stance,90,9,True,59.0,59.0,0.1,10.61111111111111,7.982939447945889
global_beta,42,0,0,30,scheduled_stance,90,8,True,8.0,8.0,0.08888888888888889,9.1875,8.464277159766375
global_beta,43,0,0,30,scheduled_stance,90,49,True,2.0,2.0,0.5444444444444444,9.418367346938776,8.872890198698377
global_beta,44,0,0,30,scheduled_stance,90,8,True,3.0,3.0,0.08888888888888889,8.8125,7.744177953428059
lesioned,42,0,0,30,scheduled_stance,90,2,True,8.0,8.0,0.022222222222222223,9.5,8.769561424724788
lesioned,43,0,0,30,scheduled_stance,90,15,True,3.0,3.0,0.16666666666666666,9.3,8.668213760801821
lesioned,44,0,0,30,scheduled_stance,90,70,True,0.0,0.0,0.7777777777777778,10.392857142857142,8.546926893167353
no_affect,42,0,0,30,scheduled_stance,90,2,True,8.0,8.0,0.022222222222222223,9.5,8.769561424724788
no_affect,43,0,0,30,scheduled_stance,90,15,True,3.0,3.0,0.16666666666666666,9.3,8.668213760801821
no_affect,44,0,0,30,scheduled_stance,90,70,True,0.0,0.0,0.7777777777777778,10.392857142857142,8.546926893167353
