experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,alpha
betrayal,alpha_0p05,14200,1983.5,9.9175,0.0,55.0,0.075,0.0,0.54,8.758571657776216,8.729302454494436,8.710192107181538,0.14412148052441803,0.05
betrayal,alpha_0p05,14201,1966.5,9.8325,0.0,4.0,0.95,0.675,0.625,8.467345726250088,8.326527391108558,8.766987482691631,0.13085796299892644,0.05
betrayal,alpha_0p05,14202,1887.5,9.4375,0.0,8.0,0.375,0.1,0.175,9.198931749647903,9.274506156241499,9.27524150289008,0.15871451389790897,0.05
betrayal,alpha_0p05,14203,2022.5,10.1125,0.0,28.0,0.05,0.0,0.5975,8.651798335518897,8.606888566998,8.709137892342792,0.14222756506318807,0.05
betrayal,alpha_0p05,14204,1874.5,9.3725,0.0,7.0,0.1,0.0,0.4325,9.023081911840066,8.793048559480305,8.677211792019648,0.15005603198787631,0.05
betrayal,alpha_0p05,14205,1969.5,9.8475,0.0,4.0,0.875,0.55,0.5625,8.451839515104657,8.661168355470334,9.059621116114439,0.14830095409940314,0.05
betrayal,alpha_0p05,14206,1829.5,9.1475,0.0,4.0,0.8,0.375,0.3325,8.946101141617454,8.686786807697633,8.597187608794671,0.1540268888047146,0.05
betrayal,alpha_0p05,14207,1884.0,9.42,0.0,20.0,0.15,0.05,0.5275,8.688650301685188,8.803204889705109,8.619497054261318,0.13842382184525331,0.05
betrayal,alpha_0p05,14208,1888.5,9.4425,0.0,9.0,0.4,0.25,0.435,8.883828828952083,8.872266828082253,8.90880769373684,0.14550733458589998,0.05
betrayal,alpha_0p05,14209,1941.5,9.7075,0.0,117.0,0.125,0.0,0.2,9.191273361056677,9.233522635833658,9.062590553139048,0.16981856050794863,0.05
betrayal,alpha_0p05,14210,1918.0,9.59,0.0,4.0,0.05,0.05,0.5425,8.790819008048627,8.79683036968636,8.798762094121031,0.14189020481243436,0.05
betrayal,alpha_0p05,14211,1900.0,9.5,0.0,4.0,0.225,0.1,0.2775,9.267591112908699,9.170398074393125,8.972155139683172,0.15770939863832228,0.05
betrayal,alpha_0p05,14212,1938.0,9.69,0.0,4.0,0.1,0.025,0.59,8.857113441220696,8.641690908616948,8.64070794437336,0.13707224356625497,0.05
betrayal,alpha_0p05,14213,1879.5,9.3975,0.0,4.0,0.5,0.225,0.3975,9.09348793905896,9.007973682748075,9.134950380031984,0.13026831876805678,0.05
betrayal,alpha_0p05,14214,1861.0,9.305,0.0,4.0,0.225,0.075,0.3575,9.028327347553688,9.08887052616898,8.89645289856723,0.13569435105808209,0.05
betrayal,alpha_0p05,14215,1818.0,9.09,0.0,27.0,0.475,0.225,0.2475,9.006816572059426,8.985761625984196,8.527480211204324,0.15213763549730858,0.05
betrayal,alpha_0p05,14216,1885.0,9.425,0.0,8.0,0.65,0.25,0.3925,8.84833394468793,8.96615204782187,9.194759723923243,0.15697731172312251,0.05
betrayal,alpha_0p05,14217,1877.0,9.385,0.0,18.0,0.325,0.125,0.4875,8.833098119946923,8.850563877925056,8.65187086365287,0.1434177635426223,0.05
betrayal,alpha_0p05,14218,1851.0,9.255,0.0,4.0,0.5,0.175,0.315,9.044360551727387,8.946651508062939,9.108216098799899,0.16403212338344958,0.05
betrayal,alpha_0p05,14219,2117.5,10.5875,0.0,30.0,0.225,0.15,0.42,9.098618084774913,8.963653232428907,8.603576900601569,0.14743754410588494,0.05
betrayal,alpha_0p1,14200,1904.0,9.52,0.0,107.0,0.15,0.025,0.3625,9.06852320467001,8.964454248903442,9.111695813360209,0.17635209570981564,0.1
betrayal,alpha_0p1,14201,1878.5,9.3925,0.0,4.0,0.8,0.35,0.46,8.598169717523877,8.752947404721755,8.911249237512886,0.205338686424207,0.1
betrayal,alpha_0p1,14202,1852.5,9.2625,0.0,6.0,0.275,0.075,0.185,9.24307281697953,9.242068754353756,9.32183882560041,0.20529913106728231,0.1
betrayal,alpha_0p1,14203,1992.5,9.9625,0.0,4.0,0.925,0.6,0.64,8.481808588067658,8.423632066304572,8.48926227494055,0.14845909989339173,0.1
betrayal,alpha_0p1,14204,1912.5,9.5625,0.0,64.0,0.025,0.025,0.385,8.793840669861833,9.051636270046277,9.00943107196171,0.18876255178482154,0.1
betrayal,alpha_0p1,14205,2089.5,10.4475,0.0,4.0,0.575,0.3,0.4425,8.468272400942704,8.776747864347863,8.483856315567724,0.18983293815884036,0.1
betrayal,alpha_0p1,14206,1815.0,9.075,0.0,4.0,0.725,0.225,0.3425,8.968765569141045,8.720595651371632,8.581199460188566,0.19491927344204624,0.1
betrayal,alpha_0p1,14207,1877.0,9.385,0.0,4.0,0.475,0.225,0.4,8.958950267199436,8.938601714820406,9.134522574516533,0.16818658642655182,0.1
betrayal,alpha_0p1,14208,2049.0,10.245,0.0,4.0,0.125,0.025,0.6175,8.685625612487474,8.439509606005931,8.609861534713655,0.1948301968611288,0.1
betrayal,alpha_0p1,14209,1948.0,9.74,0.0,4.0,0.15,0.05,0.285,9.230042635089294,9.226603848449576,9.059816717578627,0.220807502025607,0.1
betrayal,alpha_0p1,14210,2209.0,11.045,0.0,4.0,0.025,0.0,0.585,8.78763796985559,8.419369922284636,8.301360364497686,0.14008924785802063,0.1
betrayal,alpha_0p1,14211,1902.5,9.5125,0.0,4.0,0.05,0.025,0.4925,9.00739833627855,8.753021983129514,8.876428478970205,0.17856759655033194,0.1
betrayal,alpha_0p1,14212,1840.5,9.2025,0.0,34.0,0.25,0.15,0.295,9.202323212903858,9.041972807718766,8.941749725166746,0.17735026021455452,0.1
betrayal,alpha_0p1,14213,1925.0,9.625,0.0,23.0,0.075,0.0,0.28,9.098548149944632,9.078526193531232,9.145867304362735,0.18827903700234477,0.1
betrayal,alpha_0p1,14214,1876.0,9.38,0.0,4.0,0.2,0.025,0.39,9.151408645292063,9.111930594935892,8.939760454204885,0.16167234621084425,0.1
betrayal,alpha_0p1,14215,1840.5,9.2025,0.0,60.0,0.05,0.0,0.34,8.989768008406456,8.894444092470382,8.830521663308486,0.15813343476786162,0.1
betrayal,alpha_0p1,14216,1828.5,9.1425,0.0,7.0,0.5,0.3,0.3225,9.106401414315815,8.979651557603278,8.838158806619575,0.20950914710953877,0.1
betrayal,alpha_0p1,14217,1952.0,9.76,0.0,79.0,0.05,0.025,0.625,8.676303806534465,8.58715382332262,8.60262015563628,0.16392635138784833,0.1
betrayal,alpha_0p1,14218,1798.5,8.9925,0.0,4.0,0.425,0.15,0.3125,9.018186211511942,9.06089611272864,9.142152276918331,0.161744612040348,0.1
betrayal,alpha_0p1,14219,1894.0,9.47,0.0,4.0,0.4,0.1,0.1725,9.147835052367235,9.208153270002633,9.353354508753727,0.19956974279747303,0.1
betrayal,alpha_0p3,14200,1874.5,9.3725,0.0,22.0,0.15,0.05,0.3875,9.150684764657093,9.034845960199819,9.059821787770266,0.28981529720404736,0.3
betrayal,alpha_0p3,14201,1803.0,9.015,0.0,61.0,0.375,0.175,0.435,8.873167070503376,9.054250218775033,9.007738811849809,0.35819059055860286,0.3
betrayal,alpha_0p3,14202,1921.0,9.605,0.0,32.0,0.15,0.075,0.1125,9.049593837727537,9.267597063149141,9.350055771722383,0.32959325759531505,0.3
betrayal,alpha_0p3,14203,1920.5,9.6025,0.0,4.0,0.7,0.275,0.4875,8.14715739787371,8.430067249219444,8.889927153452984,0.3192870412335998,0.3
betrayal,alpha_0p3,14204,1903.5,9.5175,0.0,7.0,0.05,0.0,0.38,9.021981980129375,8.997981593879981,8.923679428830999,0.29772847074112474,0.3
betrayal,alpha_0p3,14205,1829.0,9.145,0.0,4.0,0.625,0.15,0.335,9.060729047414418,8.897774011473278,8.637324942915127,0.34541599184269334,0.3
betrayal,alpha_0p3,14206,1817.5,9.0875,0.0,4.0,0.65,0.15,0.5,8.89467749777622,8.979534693600655,8.766719541640906,0.30349558415989353,0.3
betrayal,alpha_0p3,14207,2168.0,10.84,0.0,,0.075,0.05,0.6525,8.606862161626731,8.153834337732945,7.894381601784211,0.22987491837354862,0.3
betrayal,alpha_0p3,14208,1851.0,9.255,0.0,4.0,0.35,0.125,0.4325,8.918100661956569,9.015002747782106,8.927182227840987,0.32327403928638887,0.3
betrayal,alpha_0p3,14209,1910.0,9.55,0.0,4.0,0.35,0.175,0.1225,9.16797953598377,9.320537202839077,9.389001681783315,0.38812970934282515,0.3
betrayal,alpha_0p3,14210,1831.0,9.155,0.0,4.0,0.175,0.075,0.355,9.073960275537207,9.094097465593602,8.933384322701954,0.2961418829616865,0.3
betrayal,alpha_0p3,14211,2096.5,10.4825,0.0,109.0,0.0,0.0,0.565,9.018888456015306,8.26581989734374,8.872870599473162,0.3285921114435624,0.3
betrayal,alpha_0p3,14212,1875.0,9.375,0.0,33.0,0.3,0.125,0.205,9.197387099985972,9.237886883216936,9.12914984578146,0.2869310437601554,0.3
betrayal,alpha_0p3,14213,1906.0,9.53,0.0,23.0,0.05,0.0,0.4925,9.16769439311915,9.065819875805534,9.063230735762914,0.306341653613016,0.3
betrayal,alpha_0p3,14214,1887.5,9.4375,0.0,4.0,0.275,0.05,0.285,8.93736883678684,9.1175350158338,9.129224604200253,0.3300232341602557,0.3
