experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,cautious_high_alpha,14200,1902.5,9.5125,0.0,5.0,0.32,9.27617375530259,9.019341724859828,8.973537160308487,0.8512227043638476,5.0,2.0,0.4
betrayal,cautious_high_alpha,14201,1961.0,9.805,0.0,4.0,0.595,7.423291975450971,8.048450890418975,7.3172257362093545,0.9160752235436049,1.0,3.0,3.0
betrayal,cautious_high_alpha,14202,2205.5,11.0275,0.0,110.0,0.625,8.327784833063198,7.138418854821281,6.888144272864665,0.5110257819914351,4.0,1.0,0.25
betrayal,cautious_high_alpha,14203,1861.0,9.305,0.0,22.0,0.3925,8.763669419520681,8.987415817033,9.011956404678205,1.1126611185851654,1.0,1.0,1.0
betrayal,cautious_high_alpha,14204,2179.0,10.895,0.0,69.0,0.68,8.507457753178455,7.6354734420719215,7.175986460677022,0.5750540441050993,1.0,1.0,1.0
betrayal,cautious_high_alpha,14205,1809.0,9.045,0.0,4.0,0.455,9.18444506354858,8.539947910643205,7.145740591433379,0.8902644189432471,1.0,1.0,1.0
betrayal,cautious_high_alpha,14206,1822.0,9.11,0.0,4.0,0.4575,9.16273436758985,8.45321457118465,6.248884659703371,1.00601264439118,1.0,3.0,3.0
betrayal,cautious_high_alpha,14207,2226.5,11.1325,0.0,,0.7,8.12536924668966,7.213053226697927,7.262183281466958,0.5221744352725758,1.0,1.0,1.0
betrayal,cautious_high_alpha,14208,2021.0,10.105,0.0,4.0,0.51,6.675621735041924,8.393570509102894,8.88438546960879,0.9641881190533498,1.0,1.0,1.0
betrayal,cautious_high_alpha,14209,2187.0,10.935,0.0,4.0,0.375,8.84388231657896,7.678698762666393,8.201025447602529,0.9420026181967054,1.0,1.0,1.0
betrayal,cautious_high_alpha,14210,1849.5,9.2475,0.0,4.0,0.2925,8.977860226405118,8.109061178432302,8.915350634438019,0.9326864067121263,1.0,2.0,2.0
betrayal,cautious_high_alpha,14211,1844.5,9.2225,0.0,4.0,0.185,9.13783795769914,8.85491452568076,8.972917333965864,0.9303029919739974,1.0,2.0,2.0
betrayal,cautious_high_alpha,14212,1895.5,9.4775,0.0,38.0,0.2125,9.206404697359567,8.95472377601893,8.586019084351197,1.1762408615982687,2.0,2.0,1.0
betrayal,cautious_high_alpha,14213,1917.5,9.5875,0.0,23.0,0.3925,9.300110632083918,8.356884907285295,9.094817546656273,0.7217130517123778,1.0,2.0,2.0
betrayal,cautious_high_alpha,14214,1843.5,9.2175,0.0,4.0,0.185,8.999852891010942,9.339061968340506,9.226611313580863,1.2143110040877065,1.0,1.0,1.0
betrayal,cautious_high_alpha,14215,1843.0,9.215,0.0,30.0,0.4075,9.221172993113093,8.65899800254765,8.535669727508315,0.9524094519013704,3.0,1.0,0.3333333333333333
betrayal,cautious_high_alpha,14216,1988.0,9.94,0.0,16.0,0.5725,7.213864988002854,8.352857548934,8.935888618638444,0.6694647080483809,1.0,7.0,7.0
betrayal,cautious_high_alpha,14217,1880.5,9.4025,0.0,9.0,0.485,8.606947340169743,8.724218940561107,7.767896840427294,0.917110007238534,1.0,1.0,1.0
betrayal,cautious_high_alpha,14218,1888.0,9.44,0.0,4.0,0.455,8.793658364035815,8.667460100494223,8.714581919326491,0.9957611964224574,1.0,1.0,1.0
betrayal,cautious_high_alpha,14219,1888.5,9.4425,0.0,24.0,0.155,8.973572045499704,9.356614809299732,8.342240665068456,1.048617952207772,1.0,3.0,3.0
betrayal,cautious_low_alpha,14200,1906.5,9.5325,0.0,9.0,0.4175,9.24027555561779,8.948982145573401,9.035569399318733,0.299439698751955,5.0,3.0,0.6
betrayal,cautious_low_alpha,14201,1922.0,9.61,0.0,8.0,0.5275,8.695703111877638,8.815032682907226,9.059515832158485,0.29545841147443486,2.0,1.0,0.5
betrayal,cautious_low_alpha,14202,1905.5,9.5275,0.0,4.0,0.3575,9.020796374200684,9.071533726980682,9.345739976723202,0.31578965013999316,1.0,1.0,1.0
betrayal,cautious_low_alpha,14203,1984.5,9.9225,0.0,22.0,0.275,8.893074618667537,9.06488378290783,8.925198765049721,0.38821260578132116,1.0,3.0,3.0
betrayal,cautious_low_alpha,14204,1908.0,9.54,0.0,14.0,0.505,8.577204884206905,8.983956502049653,8.737654612683494,0.29084726606329103,1.0,2.0,2.0
betrayal,cautious_low_alpha,14205,1800.5,9.0025,0.0,4.0,0.4175,9.162614821386214,8.878252545173392,8.658272881318434,0.3179973130596757,1.0,2.0,2.0
betrayal,cautious_low_alpha,14206,1825.0,9.125,0.0,4.0,0.2825,9.208219304103428,9.1999226642216,9.160064635260348,0.36127144811905826,2.0,2.0,1.0
betrayal,cautious_low_alpha,14207,1829.5,9.1475,0.0,37.0,0.44,9.00712403989784,9.019028429642782,8.872395954040906,0.3031881962144599,6.0,1.0,0.16666666666666666
betrayal,cautious_low_alpha,14208,2002.5,10.0125,0.0,74.0,0.615,8.644435604494284,8.741925345885024,8.896580219516615,0.25421476113101305,1.0,1.0,1.0
betrayal,cautious_low_alpha,14209,1900.5,9.5025,0.0,15.0,0.1025,9.434471867607076,9.390360787133957,9.344619340198516,0.36888371476967324,1.0,1.0,1.0
betrayal,cautious_low_alpha,14210,1877.5,9.3875,0.0,4.0,0.3525,9.072182050844523,9.080749730268955,8.917734220025155,0.30993789797291577,1.0,1.0,1.0
betrayal,cautious_low_alpha,14211,1867.0,9.335,0.0,4.0,0.2175,9.217490676086037,9.221667366646578,8.924309552952131,0.3518084318896001,1.0,1.0,1.0
