variant_id,seed,partner_idx,switch_event_idx,switch_round,switch_kind,post_switch_decisions,reencounters,returned_to_partner,decisions_to_first_reencounter,rounds_to_first_reencounter,reencounter_selection_rate,mean_payoff_on_reencounter,mean_q_pi_entropy_on_reencounter
affect,520,0,0,30,scheduled_stance,90,4,True,21.0,21.0,0.044444444444444446,8.75,8.672552160100839
affect,521,0,0,30,scheduled_stance,90,0,False,,,0.0,,
affect,522,0,0,30,scheduled_stance,90,1,True,12.0,12.0,0.011111111111111112,7.0,8.615835099652086
affect,523,0,0,30,scheduled_stance,90,8,True,21.0,21.0,0.08888888888888889,8.625,8.714895759964024
affect,524,0,0,30,scheduled_stance,90,2,True,12.0,12.0,0.022222222222222223,10.0,8.316241452015857
affect,525,0,0,30,scheduled_stance,90,4,True,39.0,39.0,0.044444444444444446,8.0,8.55238937327265
affect,526,0,0,30,scheduled_stance,90,2,True,79.0,79.0,0.022222222222222223,8.0,8.207832284727608
affect,527,0,0,30,scheduled_stance,90,3,True,2.0,2.0,0.03333333333333333,7.333333333333333,8.481436228165279
affect,528,0,0,30,scheduled_stance,90,9,True,0.0,0.0,0.1,8.666666666666666,8.528177687387585
affect,529,0,0,30,scheduled_stance,90,0,False,,,0.0,,
affect,530,0,0,30,scheduled_stance,90,0,False,,,0.0,,
affect,531,0,0,30,scheduled_stance,90,1,True,1.0,1.0,0.011111111111111112,10.0,9.227503498938177
affect,532,0,0,30,scheduled_stance,90,3,True,24.0,24.0,0.03333333333333333,9.666666666666666,8.568668340573767
affect,533,0,0,30,scheduled_stance,90,4,True,3.0,3.0,0.044444444444444446,7.25,8.640098490824158
affect,534,0,0,30,scheduled_stance,90,4,True,0.0,0.0,0.044444444444444446,8.5,8.507098681222732
affect,535,0,0,30,scheduled_stance,90,16,True,5.0,5.0,0.17777777777777778,8.3125,8.630539445404407
affect,536,0,0,30,scheduled_stance,90,2,True,5.0,5.0,0.022222222222222223,9.5,8.467394069864856
affect,537,0,0,30,scheduled_stance,90,6,True,0.0,0.0,0.06666666666666667,7.833333333333333,8.697251517525851
affect,538,0,0,30,scheduled_stance,90,2,True,10.0,10.0,0.022222222222222223,10.0,8.61295116379798
affect,539,0,0,30,scheduled_stance,90,2,True,37.0,37.0,0.022222222222222223,10.0,8.84921552374168
affect,540,0,0,30,scheduled_stance,90,12,True,3.0,3.0,0.13333333333333333,8.875,7.799590638353727
affect,541,0,0,30,scheduled_stance,90,5,True,37.0,37.0,0.05555555555555555,7.6,8.769508778152135
affect,542,0,0,30,scheduled_stance,90,2,True,15.0,15.0,0.022222222222222223,9.0,7.814877535564631
affect,543,0,0,30,scheduled_stance,90,1,True,7.0,7.0,0.011111111111111112,10.0,8.775725877193697
affect,544,0,0,30,scheduled_stance,90,2,True,8.0,8.0,0.022222222222222223,9.0,8.647452796721357
affect,545,0,0,30,scheduled_stance,90,0,False,,,0.0,,
affect,546,0,0,30,scheduled_stance,90,3,True,15.0,15.0,0.03333333333333333,9.833333333333334,8.644289634957262
