variant_id,seed,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,mean_abs_step_efe,planning_cost,planning_cost_ratio,total_log_evidence,mean_round_log_evidence
global_beta,910,1005.5,0.74,0.58,0.41,7.9355613537614484,7.836073570132347,2592.0,1.0,-59.6131452745898,-0.596131452745898
global_beta,911,954.0,0.32,0.75,0.3,8.254956320379108,8.034988908389652,2592.0,1.0,-69.40248549240543,-0.6940248549240543
global_beta,912,969.0,0.82,0.56,0.48,7.929729883916448,8.170223710393465,2592.0,1.0,-60.126098862869675,-0.6012609886286967
local_beta,910,910.5,0.21,0.75,0.16,8.27717134210532,8.022568452365604,2592.0,1.0,-68.51070814098475,-0.6851070814098472
local_beta,911,942.0,0.31,0.78,0.27,8.252958911100347,8.064085674120319,2592.0,1.0,-71.16592678202522,-0.7116592678202522
local_beta,912,988.0,0.78,0.7,0.51,7.806558048115829,8.162514736953156,2592.0,1.0,-55.90457663485652,-0.5590457663485653
no_affect,910,956.5,0.2,0.67,0.12,8.163631937270306,7.996873801715764,2592.0,1.0,-68.03329162839762,-0.6803329162839763
no_affect,911,954.0,0.37,0.81,0.33,8.227829166278381,8.01758746386954,2592.0,1.0,-69.8917974319323,-0.6989179743193232
no_affect,912,941.5,0.4,0.68,0.28,8.114408237573194,8.21093673756553,2592.0,1.0,-70.64949257348722,-0.7064949257348723
tracked_only,910,956.5,0.2,0.67,0.12,8.163631937270306,7.996873801715764,2592.0,1.0,-68.03329162839762,-0.6803329162839763
tracked_only,911,954.0,0.37,0.81,0.33,8.227829166278381,8.01758746386954,2592.0,1.0,-69.8917974319323,-0.6989179743193232
tracked_only,912,941.5,0.4,0.68,0.28,8.114408237573194,8.21093673756553,2592.0,1.0,-70.64949257348722,-0.7064949257348723
