variant_id,seed,partner_idx,switch_event_idx,switch_round,switch_kind,window,encounters,mean_payoff,mean_q_pi_entropy,wrong_type_rate,bad_payoff_rate,low_entropy_rate,overconfident_wrong_type_rate,overconfident_bad_payoff_rate,selected_partner_rate,entropy_cutoff
affect,42,0,0,30,scheduled_stance,10,2,10.0,8.99992159452258,1.0,0.0,0.0,0.0,0.0,1.0,6.4397996172666465
affect,43,0,0,30,scheduled_stance,10,3,9.5,7.993378652348532,1.0,0.0,0.0,0.0,0.0,1.0,6.4397996172666465
affect,44,0,0,30,scheduled_stance,10,9,10.61111111111111,7.982939447945889,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,6.4397996172666465
global_beta,42,0,0,30,scheduled_stance,10,8,9.1875,8.464277159766375,1.0,0.0,0.25,0.25,0.0,1.0,7.747870212213435
global_beta,43,0,0,30,scheduled_stance,10,10,10.25,8.79284255012074,1.0,0.0,0.0,0.0,0.0,1.0,7.747870212213435
global_beta,44,0,0,30,scheduled_stance,10,8,8.8125,7.744177953428059,0.625,0.0,0.25,0.125,0.0,1.0,7.747870212213435
lesioned,42,0,0,30,scheduled_stance,10,2,9.5,8.769561424724788,1.0,0.0,0.0,0.0,0.0,1.0,8.485496236109805
lesioned,43,0,0,30,scheduled_stance,10,10,9.55,8.619694302726447,0.6,0.0,0.1,0.1,0.0,1.0,8.485496236109805
lesioned,44,0,0,30,scheduled_stance,10,10,11.05,8.568847136500091,0.0,0.0,0.4,0.0,0.0,1.0,8.485496236109805
no_affect,42,0,0,30,scheduled_stance,10,2,9.5,8.769561424724788,1.0,0.0,0.0,0.0,0.0,1.0,8.485496236109805
no_affect,43,0,0,30,scheduled_stance,10,10,9.55,8.619694302726447,0.6,0.0,0.1,0.1,0.0,1.0,8.485496236109805
no_affect,44,0,0,30,scheduled_stance,10,10,11.05,8.568847136500091,0.0,0.0,0.4,0.0,0.0,1.0,8.485496236109805
