variant_id,seed,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,mean_abs_step_efe,planning_cost,planning_cost_ratio,total_log_evidence,mean_round_log_evidence
affect,420,506.0,0.58,0.87,0.51,4.895608939203635,12.514644378396916,1024.0,1.0,-135.05436654813178,-0.6752718327406589
affect,421,474.0,0.645,0.905,0.58,5.057462108185402,11.963946800210978,1024.0,1.0,-137.3036952986408,-0.6865184764932039
affect,422,456.0,0.47,0.895,0.435,5.076646343044377,13.225174672245048,1024.0,1.0,-133.14253556839958,-0.6657126778419977
affect,423,390.0,0.135,0.93,0.125,4.504715366844107,13.715333235128783,1024.0,1.0,-128.20447886911327,-0.6410223943455661
affect,424,534.0,0.09,0.86,0.08,4.835806581239222,14.094984264718368,1024.0,1.0,-137.24629090672266,-0.6862314545336133
affect,425,522.0,0.18,0.915,0.175,4.295949560409097,13.996566869597881,1024.0,1.0,-125.619397157157,-0.6280969857857851
affect,426,510.0,0.335,0.88,0.29,4.9732480254595774,13.533582785226171,1024.0,1.0,-137.01290313331478,-0.6850645156665739
affect,427,568.0,0.78,0.885,0.69,4.956428981889855,12.131131198719377,1024.0,1.0,-132.6274104605698,-0.6631370523028488
affect,428,460.0,0.2,0.905,0.195,4.086312148864065,13.840544798035408,1024.0,1.0,-120.2043853378402,-0.6010219266892007
affect,429,518.0,0.095,0.83,0.075,4.408981711998573,14.045755597392564,1024.0,1.0,-137.3808773516638,-0.6869043867583189
affect,430,510.0,0.145,0.915,0.135,5.129468251249068,13.422754140738398,1024.0,1.0,-139.00922438497292,-0.6950461219248648
affect,431,566.0,0.85,0.895,0.755,4.570155152557966,12.776618763540172,1024.0,1.0,-129.0390256334429,-0.6451951281672145
affect,432,436.0,0.175,0.9,0.165,4.76871751733818,13.922480004195823,1024.0,1.0,-129.39718108120283,-0.6469859054060142
affect,433,496.0,0.485,0.875,0.445,4.885899341268478,13.076650736824377,1024.0,1.0,-137.71355590356225,-0.688567779517811
affect,434,502.0,0.185,0.875,0.13,4.8336966303890385,13.408934974346776,1024.0,1.0,-133.6247357285716,-0.6681236786428585
affect,435,454.0,0.265,0.845,0.25,4.797709346932478,13.567225965525722,1024.0,1.0,-129.90889472451263,-0.6495444736225628
affect,436,452.0,0.455,0.89,0.42,5.430493661379271,12.334244261441054,1024.0,1.0,-141.93931483737555,-0.7096965741868773
affect,437,436.0,0.6,0.905,0.57,4.864682298435033,12.821202413045103,1024.0,1.0,-137.70404230587687,-0.6885202115293844
affect,438,486.0,0.08,0.895,0.07,5.1102604639044,13.538315239554503,1024.0,1.0,-141.4153205627615,-0.7070766028138078
affect,439,444.0,0.285,0.92,0.27,4.728810637804912,13.656150243962184,1024.0,1.0,-125.30822691751074,-0.6265411345875536
affect,440,560.0,0.755,0.905,0.675,4.836280476025612,12.066966340155341,1024.0,1.0,-138.74933800651831,-0.6937466900325915
affect,441,488.0,0.185,0.92,0.16,4.68894080870584,13.416956701828166,1024.0,1.0,-138.7784760011265,-0.6938923800056331
affect,442,414.0,0.155,0.91,0.15,5.162329394595831,12.840731915741927,1024.0,1.0,-137.580939195173,-0.6879046959758648
affect,443,450.0,0.19,0.895,0.175,4.739772351497047,12.932686981974403,1024.0,1.0,-134.4723633009273,-0.6723618165046362
affect,444,470.0,0.165,0.905,0.15,5.066329469734605,13.531993928861338,1024.0,1.0,-137.44048124771717,-0.6872024062385859
affect,445,444.0,0.485,0.9,0.47,4.9149161033101025,12.589704302358442,1024.0,1.0,-137.5111895875911,-0.6875559479379558
affect,446,510.0,0.33,0.875,0.275,4.901615306484008,12.12564052655478,1024.0,1.0,-138.35330116651835,-0.6917665058325916
affect,447,534.0,0.315,0.885,0.285,4.551224070073083,13.889455985169626,1024.0,1.0,-137.26906527657604,-0.6863453263828803
affect,448,428.0,0.17,0.885,0.155,4.68227570128669,14.084674133775989,1024.0,1.0,-130.10406783985448,-0.6505203391992727
affect,449,486.0,0.19,0.92,0.18,5.137557958730181,13.35328797973576,1024.0,1.0,-136.60753962864123,-0.6830376981432061
global_beta,420,534.0,0.575,0.86,0.49,5.103586234594536,12.787499812331516,1024.0,1.0,-146.4421662076366,-0.7322108310381827
global_beta,421,500.0,0.57,0.865,0.5,5.172405616809411,12.006090490267379,1024.0,1.0,-141.99619332010647,-0.7099809666005319
global_beta,422,506.0,0.4,0.905,0.365,5.1012106400293735,12.926817356585525,1024.0,1.0,-139.42880924122045,-0.6971440462061024
global_beta,423,384.0,0.045,0.93,0.04,4.507167195153524,13.912635610349243,1024.0,1.0,-131.98941601896618,-0.6599470800948312
global_beta,424,550.0,0.025,0.9,0.015,4.609049567475218,13.985038592658238,1024.0,1.0,-140.57158679864813,-0.7028579339932408
global_beta,425,550.0,0.685,0.875,0.595,4.907581445490224,13.012433395027182,1024.0,1.0,-142.15075278755666,-0.7107537639377839
global_beta,426,540.0,0.28,0.885,0.255,5.076434495562129,13.11591722327983,1024.0,1.0,-142.36844001236508,-0.7118422000618255
global_beta,427,596.0,0.845,0.84,0.715,4.879621888685127,11.850700900334632,1024.0,1.0,-136.153128996153,-0.6807656449807651
