variant_id,seed,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,mean_abs_step_efe,planning_cost,planning_cost_ratio,total_log_evidence,mean_round_log_evidence
affect,620,372.0,0.53,0.93,0.49,4.430231045790446,13.188278899649157,1024.0,1.0,-114.77238945809748,-0.5738619472904871
affect,621,390.0,0.455,0.89,0.39,4.7334373937755565,13.081405548967886,1024.0,1.0,-121.73375098776576,-0.6086687549388287
affect,622,340.0,0.52,0.945,0.51,4.214011598581933,13.233205448862863,1024.0,1.0,-103.74521350133988,-0.5187260675066994
affect,623,390.0,0.35,0.905,0.32,4.926245221257252,13.09602844761219,1024.0,1.0,-125.19869087248046,-0.6259934543624024
affect,624,378.0,0.325,0.93,0.31,4.887823338372354,13.163388377602677,1024.0,1.0,-123.4466298659342,-0.617233149329671
affect,625,412.0,0.295,0.91,0.27,4.9712276908113635,13.050167932268232,1024.0,1.0,-127.4171302941882,-0.6370856514709409
affect,626,386.0,0.58,0.93,0.56,4.531391812991609,12.869898359498475,1024.0,1.0,-113.5843674441318,-0.5679218372206588
affect,627,440.0,0.44,0.92,0.4,5.035195041672817,13.203800664189039,1024.0,1.0,-127.7348330943067,-0.6386741654715333
affect,628,390.0,0.52,0.955,0.495,4.06381245246295,13.318304468397983,1024.0,1.0,-105.26985682938368,-0.5263492841469184
affect,629,394.0,0.26,0.885,0.2,5.18920925336174,13.206253883454483,1024.0,1.0,-131.2456471788151,-0.6562282358940754
affect,630,388.0,0.185,0.86,0.165,5.159137450734455,12.93466994187329,1024.0,1.0,-134.54815344953954,-0.6727407672476973
affect,631,456.0,0.435,0.905,0.39,5.506166779887809,12.692643824969418,1024.0,1.0,-138.08265298665498,-0.6904132649332742
affect,632,332.0,0.525,0.955,0.52,4.095999210768239,13.463527812473476,1024.0,1.0,-103.33611255527444,-0.5166805627763721
affect,633,432.0,0.385,0.87,0.335,5.146714027933854,12.702418889855034,1024.0,1.0,-134.02898330983996,-0.6701449165491998
affect,634,372.0,0.465,0.915,0.42,5.129374952674981,13.297206782578723,1024.0,1.0,-126.21218491477754,-0.6310609245738877
affect,635,414.0,0.285,0.945,0.265,5.353355565046794,13.021073560741497,1024.0,1.0,-132.02901377583964,-0.6601450688791983
affect,636,404.0,0.46,0.875,0.405,5.007429730376702,12.741003681904404,1024.0,1.0,-130.33009285539023,-0.6516504642769508
affect,637,426.0,0.405,0.905,0.38,5.127931265752918,12.854608598824125,1024.0,1.0,-135.0571671668279,-0.6752858358341391
affect,638,458.0,0.475,0.89,0.435,4.773936491951392,12.985613001355668,1024.0,1.0,-125.53281872492,-0.6276640936245997
affect,639,442.0,0.35,0.915,0.31,5.241311193573954,13.100203190173488,1024.0,1.0,-133.03837802673843,-0.6651918901336924
