experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,alpha
betrayal,alpha_0p05,14200,2303.5,11.5175,0.0,,0.025,0.0,0.665,7.017776149227441,6.642352460368254,6.624036660288958,0.09007170147717586,0.05
betrayal,alpha_0p05,14201,1892.5,9.4625,0.0,6.0,0.7,0.275,0.4875,7.233358294364208,7.36469280015724,8.014119005203872,0.10988937277553482,0.05
betrayal,alpha_0p05,14202,2119.0,10.595,0.0,4.0,0.775,0.725,0.5325,7.415918758910056,7.219578493237832,7.1738088800820785,0.12151339077943307,0.05
betrayal,alpha_0p05,14203,2206.0,11.03,0.0,4.0,0.975,0.675,0.7175,6.674074720546859,6.63950053078922,6.800916279110262,0.06775750754482729,0.05
betrayal,alpha_0p05,14204,2293.5,11.4675,0.0,16.0,0.025,0.025,0.7125,6.949027651120762,6.424945001917227,6.33078118459334,0.06436357317364988,0.05
betrayal,alpha_0p05,14205,1759.5,8.7975,0.0,4.0,0.6,0.4,0.3775,8.01517071167926,7.965443308920823,7.658884540766611,0.12606736342298713,0.05
betrayal,alpha_0p05,14206,2051.0,10.255,0.0,4.0,0.6,0.4,0.585,7.12666156382316,7.307119013655813,7.4096063399562135,0.1341827731751164,0.05
betrayal,alpha_0p05,14207,2224.0,11.12,0.0,,0.0,0.0,0.6775,7.369600764743394,6.527701341461672,6.4523716189614255,0.08400656555412372,0.05
betrayal,alpha_0p05,14208,2288.5,11.4425,0.0,9.0,0.3,0.275,0.5625,7.160120453830971,6.882696433137812,7.073759144385366,0.07105365123652693,0.05
betrayal,alpha_0p05,14209,2116.5,10.5825,0.0,4.0,0.325,0.275,0.285,7.74694079399613,7.725527209001603,7.928645864869863,0.11647328183845718,0.05
betrayal,alpha_0p05,14210,1850.5,9.2525,0.0,4.0,0.275,0.1,0.3075,7.565931387630952,7.975283787015601,8.021131440465776,0.1306649271680539,0.05
betrayal,alpha_0p05,14211,2230.0,11.15,0.0,,0.05,0.0,0.4825,7.5594885604659625,7.087617652584352,7.114401216544818,0.1080431167994485,0.05
betrayal,alpha_0p05,14212,2232.0,11.16,0.0,4.0,0.025,0.0,0.4625,7.982252995069489,7.090720278137784,6.939717124473237,0.11877298079598853,0.05
betrayal,alpha_0p05,14213,2229.0,11.145,0.0,4.0,0.175,0.075,0.5225,7.086621748245368,7.178807959936819,7.081628959768002,0.0882155331319964,0.05
betrayal,alpha_0p05,14214,2302.5,11.5125,0.0,35.0,0.025,0.025,0.67,7.056884241836844,6.4802695997843145,6.364935010655707,0.0891753881972879,0.05
betrayal,alpha_0p05,14215,2219.0,11.095,0.0,,0.25,0.15,0.495,7.218570127418877,7.159002781383921,7.1303391365221955,0.09112716761313219,0.05
betrayal,alpha_0p05,14216,2195.5,10.9775,0.0,5.0,0.925,0.65,0.5825,7.04019319971026,7.113474307327218,7.160344948241259,0.0857252840365868,0.05
betrayal,alpha_0p05,14217,2337.5,11.6875,0.0,9.0,0.075,0.025,0.7025,6.8710004950702395,6.356079673307409,6.204370083997118,0.06721070826025088,0.05
betrayal,alpha_0p05,14218,2164.0,10.82,0.0,,0.175,0.05,0.5975,7.2604076020959045,7.112181367323387,6.875566874328743,0.0851741090842941,0.05
betrayal,alpha_0p05,14219,2230.5,11.1525,0.0,4.0,0.075,0.025,0.615,7.344187143492336,7.125607534658716,6.615993823949342,0.09527760703622248,0.05
betrayal,alpha_0p1,14200,2346.0,11.73,0.0,17.0,0.025,0.0,0.675,6.740984869918078,6.014286193263376,6.461709418588526,0.11474524667678324,0.1
betrayal,alpha_0p1,14201,1898.5,9.4925,0.0,6.0,0.7,0.275,0.4825,7.190106068384876,7.3126464292243245,8.01562731147947,0.1482820707937331,0.1
betrayal,alpha_0p1,14202,2130.5,10.6525,0.0,12.0,0.775,0.675,0.565,7.342701830540324,7.04240502557916,7.018229265616541,0.15492718599430522,0.1
betrayal,alpha_0p1,14203,2223.0,11.115,0.0,4.0,1.0,0.75,0.725,6.441117315289721,6.260087196535272,6.500575883186143,0.0819885793210961,0.1
betrayal,alpha_0p1,14204,2309.5,11.5475,0.0,16.0,0.025,0.025,0.71,6.833975503858409,6.113276724122262,5.774213317104723,0.09176499654079501,0.1
betrayal,alpha_0p1,14205,1744.5,8.7225,0.0,4.0,0.6,0.4,0.3475,8.015739083228375,7.965373837327231,7.761909367148889,0.14733265932170947,0.1
betrayal,alpha_0p1,14206,2181.0,10.905,0.0,,0.2,0.1,0.4225,7.085632740108042,6.891898128495873,6.999301682256348,0.18067751939469498,0.1
betrayal,alpha_0p1,14207,2218.0,11.09,0.0,61.0,0.0,0.0,0.68,7.347752569439381,6.265706854565014,6.050225467936483,0.1113259437445519,0.1
betrayal,alpha_0p1,14208,2279.5,11.3975,0.0,13.0,0.25,0.2,0.565,7.017970428321697,6.619079726114003,6.6380299480314875,0.12262622626829336,0.1
