experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,cautious_high_alpha,14200,2421.0,12.105,0.0,,0.025,0.025,0.7475,4.173354030711746,3.6592000152983584,3.827725212666227,0.25873526475437547,1.0,4.0,4.0
betrayal,cautious_high_alpha,14201,1941.5,9.7075,0.0,9.0,0.725,0.225,0.465,5.275963057374367,6.714838146837696,8.246705838083443,0.6747645969318414,1.0,2.0,2.0
betrayal,cautious_high_alpha,14202,2259.5,11.2975,0.0,4.0,0.875,0.75,0.5775,4.7664534941122145,5.255492883627979,4.785687099418545,0.6371530787122499,1.0,1.0,1.0
betrayal,cautious_high_alpha,14203,2245.5,11.2275,0.0,4.0,1.0,0.9,0.7275,4.683747542365444,4.712975403143764,5.20644408935109,0.33507184244307736,1.0,2.0,2.0
betrayal,cautious_high_alpha,14204,2355.0,11.775,0.0,88.0,0.0,0.0,0.7325,4.578251373041806,4.179819759285074,3.826042281907545,0.3321995170357482,1.0,2.0,2.0
betrayal,cautious_high_alpha,14205,2230.0,11.15,0.0,4.0,0.55,0.275,0.475,5.531208591350016,5.250446390123438,4.093375828764576,0.6898438206891748,5.0,1.0,0.2
betrayal,cautious_high_alpha,14206,2245.0,11.225,0.0,11.0,0.5,0.375,0.4825,4.74635424299526,5.084102544353397,4.887519829127348,0.7607043570786058,1.0,1.0,1.0
betrayal,cautious_high_alpha,14207,1816.0,9.08,0.0,32.0,0.275,0.05,0.3225,8.042192636909745,8.034717090185582,8.093074410945638,0.7959825821430857,1.0,1.0,1.0
betrayal,cautious_high_alpha,14208,2350.5,11.7525,0.0,66.0,0.0,0.0,0.715,4.765174998033857,3.9818319063999565,4.155161392248608,0.35061839770966197,1.0,5.0,5.0
betrayal,cautious_high_alpha,14209,2279.5,11.3975,0.0,4.0,0.4,0.35,0.4375,5.7580355766008005,4.953753575660081,4.823124352457483,0.7704395980731518,1.0,2.0,2.0
betrayal,cautious_high_alpha,14210,2275.5,11.3775,0.0,,0.0,0.0,0.6675,7.842881487763616,3.9116858682668822,3.9064659454628483,0.5624718629052633,8.0,1.0,0.125
betrayal,cautious_high_alpha,14211,2142.5,10.7125,0.0,4.0,0.7,0.575,0.555,6.333865846146107,5.99523284780147,5.218961932988795,0.7263113300225555,1.0,4.0,4.0
betrayal,cautious_high_alpha,14212,2349.0,11.745,0.0,4.0,0.025,0.0,0.7,5.498550847421385,3.9711793412661196,4.115013218587769,0.4146002600184184,1.0,1.0,1.0
betrayal,cautious_high_alpha,14213,2325.0,11.625,0.0,4.0,0.1,0.05,0.7175,4.673527345967043,4.371841039012821,4.363265584606346,0.5017898520855403,1.0,107.0,107.0
betrayal,cautious_high_alpha,14214,2358.0,11.79,0.0,59.0,0.0,0.0,0.7175,5.783726185408467,4.03952066362079,3.564689177930943,0.37782243435875645,4.0,1.0,0.25
betrayal,cautious_high_alpha,14215,2095.0,10.475,0.0,4.0,0.925,0.8,0.6525,5.182636910029166,5.5370022403768875,6.836821372458956,0.4677168954466379,1.0,2.0,2.0
betrayal,cautious_high_alpha,14216,2174.5,10.8725,0.0,,0.05,0.05,0.485,7.821976951337043,5.240081021427849,4.402181848731843,0.8535908052008752,1.0,1.0,1.0
betrayal,cautious_high_alpha,14217,2380.5,11.9025,0.0,33.0,0.025,0.025,0.7275,4.288409976818673,4.011968903094699,3.896574189099558,0.3021191094769339,2.0,1.0,0.5
betrayal,cautious_high_alpha,14218,2048.5,10.2425,0.0,14.0,0.75,0.65,0.5725,6.75474211938572,5.884486209183752,7.046354014888452,0.720957710803087,1.0,7.0,7.0
betrayal,cautious_high_alpha,14219,2322.5,11.6125,0.0,,0.025,0.025,0.695,5.298737464614832,4.066062072479819,4.748128190716517,0.5774190038841025,1.0,2.0,2.0
betrayal,cautious_low_alpha,14200,2330.0,11.65,0.0,,0.025,0.0,0.6725,7.274054870874539,6.252187346681699,6.224992173908209,0.25607906040813233,1.0,3.0,3.0
