experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,reengagement_rate,payoff_recovery,reengagement_latency,beta_pre,beta_betrayal,beta_repair,beta_recovery_r080,beta_recovery_r100,beta_recovery_r120,beta_recovery_r140,beta_recovery_r160,beta_recovery_r180,beta_recovery_r200
betrayal,alpha_0p05,14200,3967.0,9.9175,0.0,55.0,0.075,0.0,0.54,8.758571657776216,8.729302454494434,8.710192107181538,0.14412148052441803,0.06329113924050633,0.9540981441120138,6.0,1.0773730260027405,1.1111425584734618,1.119371423311721,1.1099574256196354,1.112076984140374,1.111824219976242,1.1203393169010736,1.1198647770373258,1.1198647770373258,1.1160470744295887
betrayal,alpha_0p05,14201,3933.0,9.8325,0.0,4.0,0.95,0.675,0.625,8.467345726250088,8.326527391108558,8.766987482691631,0.13085796299892644,0.7088607594936709,0.8377860235003093,1.0,1.075034788636645,1.1469856046565663,1.220797250659255,1.0760881615584856,1.1353844848651224,1.200551651251241,1.1815852708159338,1.247289503927662,1.2408447915441096,1.2195946316163506
betrayal,alpha_0p05,14202,3775.0,9.4375,0.0,8.0,0.375,0.1,0.175,9.198931749647903,9.274506156241499,9.27524150289008,0.15871451389790897,0.22784810126582278,0.9719948893262889,6.0,1.1147157944736446,1.1525424587494384,1.1280630618847363,1.163368523009884,1.1578638181454708,1.1416479189384259,1.1385939604528401,1.1294872144526387,1.1179507127564157,1.111314279065939
betrayal,alpha_0p05,14203,4045.0,10.1125,0.0,28.0,0.05,0.0,0.5975,8.651798335518896,8.606888566997998,8.709137892342792,0.14222756506318807,0.05063291139240506,0.8276744326049005,32.0,1.0516474675551648,1.1036788911296418,1.116164572388796,1.098366208751205,1.098366208751205,1.112798274170348,1.112798274170348,1.115835392225433,1.1194393777452527,1.1198095449189642
betrayal,alpha_0p05,14204,3749.0,9.3725,0.0,7.0,0.1,0.0,0.4325,9.023081911840068,8.793048559480308,8.677211792019648,0.15005603198787631,0.11392405063291139,1.0715205000919288,5.0,1.070147599085042,1.09108752282945,1.1031857038606703,1.0883555697041656,1.0918367718594282,1.0916069457363338,1.088852523013825,1.1158196878558984,1.1085533434361166,1.1003175325786954
betrayal,alpha_0p05,14205,3939.0,9.8475,0.0,4.0,0.875,0.55,0.5625,8.451839515104657,8.661168355470334,9.059621116114439,0.14830095409940314,0.6075949367088608,0.830833538234571,1.0,1.0520331069064457,1.1471203362992168,1.225236564151357,1.081947502228866,1.1316891979155113,1.207446519137107,1.2333273980111739,1.2607626774959078,1.2194314028871853,1.1944137525314356
betrayal,alpha_0p05,14206,3659.0,9.1475,0.0,4.0,0.8,0.375,0.3325,8.946101141617454,8.686786807697633,8.597187608794673,0.1540268888047146,0.31645569620253167,1.0238271474392866,0.0,1.1115946228971467,1.142825553691559,1.0838001998278803,1.1446693186244472,1.1448897403845384,1.1176903244822962,1.098404718589679,1.0747042189788445,1.0747042189788445,1.0668161398169422
betrayal,alpha_0p05,14207,3768.0,9.42,0.0,20.0,0.15,0.05,0.5275,8.688650301685188,8.803204889705109,8.619497054261318,0.13842382184525331,0.10126582278481013,1.0067909922589726,0.0,1.080397178002186,1.109120679856399,1.0961065006789354,1.1071169088669284,1.1099788066739464,1.1088072028334666,1.1026726623044192,1.0962682056606525,1.0881123723221537,1.0839673507994516
betrayal,alpha_0p05,14208,3777.0,9.4425,0.0,9.0,0.4,0.25,0.435,8.883828828952083,8.872266828082253,8.90880769373684,0.14550733458589998,0.45569620253164556,0.9605396976066175,0.0,1.098237817620949,1.1448500163453499,1.1638017104314318,1.1493741414373617,1.144578664183981,1.1431190771351192,1.1660636693819137,1.1808233464184634,1.161760473368577,1.150394091274873
betrayal,alpha_0p05,14209,3883.0,9.7075,0.0,117.0,0.125,0.0,0.2,9.19127336105668,9.233522635833658,9.062590553139048,0.16981856050794863,0.17721518987341772,0.9091234579956384,1.0,1.1071288015018723,1.145213793983927,1.1225400291401626,1.152020994440614,1.144074325592909,1.1387801617514566,1.1314158283657831,1.1213896348852996,1.1186092892419668,1.1062070845586138
betrayal,alpha_0p05,14210,3836.0,9.59,0.0,4.0,0.05,0.05,0.5425,8.790819008048626,8.796830369686361,8.798762094121033,0.14189020481243436,0.06329113924050633,0.9154376269267904,3.0,1.0642209430329261,1.0946394619905933,1.108747213862822,1.0873710833870067,1.0928542884826555,1.0979547842196202,1.1045377636523475,1.1101276802817617,1.1115271739545272,1.1115271739545272
